country,stateprovince,county,collectioncode,catalognumber,locality,scientificname,decimallatitude,decimallongitude,daycollected,monthcollected,yearcollected
Brasil,Estado de Sao Paulo,Luis Antonio,LIRP,5105,"Rio Mogi-Guaçú, próximo à Estação ecológica de Jataí",Characidium sp.,-21.6122222,-47.8191667,08,10,2004
Brasil,Estado de Goias,Catalao,LIRP,3378,"Córrego da Anta Gorda, junto à ponte na estrada de terra",Characidium sp.,-17.8819444,-47.6169444,25,04,2002
Brasil,Estado de Rondonia,Machadinho D'Oeste,LIRP,13163,Lagoa marginal localizada a jusante da balsa,Characidium cf. pteroides,-9.0474444,-61.5674361,13,07,2013
Brasil,Estado de Mato Grosso,Paranatinga,LIRP,3994,"Riacho na estrada da fazenda JB, saindo à esquerda na MT- 130",Characidium sp.,-14.5958333,-54.0311111,19,01,2002
Brasil,Estado de Mato Grosso,Pocone,LIRP,9481,"Rio Cuiabá, Parque Nacional do Pantanal",Characidium laterale,-17.827158,-57.381494000000004,29,10,2011
Brasil,Estado de Sao Paulo,Olimpia,LIRP,2509,"Córrego das Laranjeiras, Faz. Três Corações, sub-bacia do Turvo-Grande TUG054",Characidium gomesi,-20.7363889,-49.0472222,15,07,2001
Brasil,Estado de Mato Grosso do Sul,Bodoquena,LIRP,5549,"Rio Salobra, Faz. Rancho Branco, sob ponte de madeira.",Characidium cf. zebra,-20.5386009216309,-56.7150001525879,22,08,2004
Brasil,Estado de Sao Paulo,Cajuru,LIRP,10,"Rio Cubatão, fazenda Santa Carlota, Rio Pardo",Characidium fasciatum,-21.3666667,-47.2833333,13,04,1986
Brasil,Estado de Sao Paulo,Luis Antonio,LIRP,1974,"Estação Ecológica de Jataí, Córrego do Cafundó, afl. do Mogi-Guaçú",Characidium sp.,-21.5499992370605,-47.7000007629395,15,06,2000
Brasil,Estado de Sao Paulo,Lins,LIRP,2525,"Córrego do Desfiladeiro, Faz. Santa Marina, sub-bacia do Rio Aguapeí - AGP014",Characidium zebra,-21.7325,-49.8363889,01,04,2000
Brasil,Estado de Sao Paulo,Gaviao Peixoto,LIRP,7604,Rio Jacaré-Guaçu,Characidium gomesi,-21.8461111,-48.5244444,04,01,2010
Brasil,Estado de Mato Grosso do Sul,Bela Vista,LIRP,5529,"Rio Caracol, na ponte da BR-267",Characidium cf. zebra,-21.6813889,-56.7630556,31,08,2004
Brasil,Estado de Mato Grosso,Alto Araguaia,LIRP,4493,"Córrego do Sapo, acima da cachoeira de Couto Magalhães",Characidium sp.,-17.3146991729736,-53.2153015136719,07,08,2002
Brasil,Estado de Sao Paulo,Monte Aprazivel,LIRP,2529,"Córrego Gabiroba, sub-bacia do Rio São José dos Dourados SJD001",Characidium zebra,-20.6252778,-49.765,25,07,1999
Brasil,Estado de Goias,Catalao,LIRP,3624,"Córrego da Prata, afluente do Rio São Marcos",Characidium sp.,-17.7905556,-47.5966667,26,07,2002
Brasil,Estado de Sao Paulo,Pompeia,LIRP,6215,Ribeirão Guavira-Rio do Peixe,Characidium sp.,-20.1669444,-50.2361111,13,10,2003
Brasil,Estado de Sao Paulo,Cassia Dos Coqueiros,LIRP,824,Ribeirão da Boiada (afl. da margem direita do Rio Pardo),Characidium gomesi,-21.2944444,-47.1469444,15,02,2001
Brasil,Estado de Mato Grosso,Sapezal,LIRP,15080,"PCH Parecis, Rio Juruena",Characidium sp.,-13.0788889,-58.9641667,01,11,2007
Brasil,Estado de Mato Grosso,Alto Araguaia,LIRP,4473,"Córrego Carneiro, bacia do Rio Araguaia",Characidium sp.,-17.3146991729736,-53.2153015136719,09,08,2002
Brasil,Estado de Sao Paulo,Ubatuba,LIRP,17566,"Rio Iriri, afluente s/ nome; Ubatumirim, ponto Impactado 01",Characidium vidali,-23.292556,-44.869833,26,03,2019
Brasil,Estado de Mato Grosso do Sul,Bela Vista,LIRP,5548,"Rio Azul, Fazenda Margarida",Characidium cf. zebra,-21.6372222,-56.7363889,30,08,2004
Brasil,Estado de Sao Paulo,Sao Pedro,LIRP,2533,"Ribeirão da Ponta do Meio, Faz. Sta. M. da Ponta do Meio, sub-bacia PCJ043",Characidium zebra,-22.5575,-47.9522222,29,05,2001
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5532,"Córrego Olaria, afluente do Rio do Peixe, sob a ponte da vicinal MS-178",Characidium cf. zebra,-21.1210994720459,-56.4818992614746,22,08,2004
Brasil,Estado de Sao Paulo,Ubatuba,LIRP,17674,"Rio Iriri, afluente s/ nome; Ubatumirim, ponto Preservado 03",Characidium vidali,-23.301944,-44.900278,31,03,2019
Brasil,Estado de Mato Grosso,Sapezal,LIRP,18407,"Rio Juruena, PCH Telegráfica",Characidium sp.,-12.8497222,-58.9266667,01,04,2014
Brasil,Estado de Sao Paulo,Sao Simao,LIRP,324,Ribeirão Tamanduá,Characidium sp.,-21.4699993133545,-47.5499992370605,01,05,1998
Brasil,Estado de Mato Grosso do Sul,Chapadao Do Sul,LIRP,5923,"Rio Sucuriu, início da corredeira, na PCH de Paraíso",Characidium cf. zebra,-19.2469444,-52.8927778,26,08,2006
Brasil,Estado de Sao Paulo,Guaira,LIRP,2506,"Córrego de Guaíra, Faz. Santo Inácio, sub-bacia do baixo Pardo-Grande - PAG059",Characidium aff. lagosantensis,-20.1972222,-48.5533333,13,10,2001
Brasil,Estado de Sao Paulo,Osvaldo Cruz,LIRP,2519,"Córrego XXX, Faz. São Manoel. Sub-bacia do Rio Aguapeí - AGP016",Characidium zebra,-21.7313889,-50.8411111,03,04,2000
Brasil,Estado de Sao Paulo,Santa Rita Do Passa Quatro,LIRP,3155,"Aire Pé de Gigante, Córrego Paulicéia, Afluente do Rio Mogi-Guaçú",Characidium gomesi,-21.6827778,-47.6572222,30,10,2001
Brasil,Estado de Sao Paulo,Cajuru,LIRP,160,"Rio Cubatão, fazenda Santa Carlota, Rio Pardo",Characidium fasciatum,-21.3666667,-47.2833333,07,11,1989
Brasil,Estado de Mato Grosso,Campos De Julio,LIRP,12307,"Rio Formiga, PCH Divisa",Characidium zebra,-13.3672222222,-59.1433333333,01,08,2011
Brasil,Estado de Sao Paulo,Guaira,LIRP,2535,"Córrego do Jacareí, Faz. Bom Sucesso, sub-bacia do baixo Pardo-Grande - PAG060",Characidium zebra,-20.3963889,-48.4155556,14,10,2001
Brasil,Estado de Minas Gerais,Iguatama,LIRP,18252,Ribeirão São Miguel,Characidium sp.,-20.1999444444,-45.6525,21,03,2004
Brasil,Estado de Sao Paulo,Divinolandia,LIRP,5754,"Rio do Peixe (montante), chácara Santa Edwiges",Characidium gomesi,-21.6599998474121,-46.7299995422363,11,09,2005
Brasil,Estado de Minas Gerais,Bom Repouso,LIRP,17356,"Cabeceira do Rio Mogi-Guaçu, CAB16",Characidium gomesi,-22.4138888889,-46.1044444444,16,08,2014
Brasil,Estado do Espirito Santo,Iuna,LIRP,17558,"Bacia do Rio Itapemirim,Córrego dos Pilões, afluente do Rio Santa Clara, zona rural de Pedra Roxa",Characidium sp.,-20.3653611111,-41.7458333333,14,03,2020
NA,NA,NA,LIRP,13819,Approximately 22 km S + E of Nanuque At Santa Clara On Rio Mucuri. Side Branch of Main River Channel In Vic. of Numerous Rapids. (Coordinates Are For Nanuque.),Characidium sp.,-17.85,-40.37,23,07,1991
Brasil,Estado de Mato Grosso,Primavera Do Leste,LIRP,3984,"Córrego Xavante, sob a ponte na MT- 130, próximo a Paranatinga.",Characidium sp.,-14.7180556,-54.0769444,18,01,2002
Brasil,Estado de Mato Grosso,Sapezal,LIRP,15076,"Rio Juruena, PCH Telegráfica",Characidium sp.,-12.8497222,-58.9266667,01,06,2007
Brasil,Estado de Rondonia,Machadinho D'Oeste,LIRP,10424,"Cachoeira das Andorinhas, Rio Machadinho, afluente do Rio Machado",Characidium cf. zebra,-9.4461111111,-61.9836111111,16,09,2013
Brasil,Estado de Mato Grosso,Campos De Julio,LIRP,15067,"Rio Formiga, PCH Divisa - a jusante do reservatório",Characidium sp.,-13.3497222222,-55.1533333333,01,08,2013
Brasil,Estado de Mato Grosso,Campo Verde,LIRP,3863,"Rio Água Azul, na estrada de terra",Characidium mirim,-15.2716667,-54.9672222,17,01,2002
Brasil,Estado de Mato Grosso do Sul,Bela Vista,LIRP,5520,"Fazenda Margarida, lagoa à beira da estrada interna",Characidium cf. zebra,-21.625,-56.7427778,30,08,2004
Brasil,Estado de Sao Paulo,Ilha do Cardoso,LIRP,3166,Rio Santa Cruz,Characidium sp.,0,0,31,07,2001
Brasil,Estado de Mato Grosso do Sul,Santa Gabriela,LIRP,4644,Rio Paraná,Characidium sp.,0,0,04,02,2003
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5542,"Córrego Mutum, Fazenda Fortaleza (atrás da sede)",Characidium borellii,-21.3008333,-56.4358333,19,08,2004
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5547,"Nascente do Rio Formoso, Fazenda Formoso. Obs. Localidade tipo de Ancistrus formoso",Characidium cf. zebra,-21.1210994720459,-56.4818992614746,20,08,2004
Brasil,Estado de Goias,Mambai,LIRP,12511,"Rio Vermelho à jusante, antes do encontro com o Rio das Pedras",Characidium cf. xanthopterum,-14.6105277778,-46.7532777778,13,12,2014
Brasil,Estado de Mato Grosso,Pocone,LIRP,9488,"Corixo do Morro do Caracará, Parque Nacional do Pantanal",Characidium laterale,-17.847903,-57.439897,18,10,2011
Brasil,Estado de Sao Paulo,Luiz Antonio,LIRP,8251,"Lagoa do Diogo, Estação Ecológica de Jataí",Characidium zebra,-21.6241667,-47.8066667,13,09,2011
Brasil,Estado de Goias,Catalao,LIRP,3375,"Córrego Taquari, a jus. da ponte na estr. de terra",Characidium sp.,-17.7186111,-47.5738889,24,04,2002
Brasil,Estado de Mato Grosso do Sul,Bonito,LIRP,5540,"Rio da Prata, Fazenda Sta. Maria,1,5km a montante da ponte na MS-178, 12 km de BDQ001 (entre os municípios de Bonito e Jardim)",Characidium cf. zebra,-21.4383333,-56.4666667,19,08,2004
Brasil,Estado de Goias,Mambai,LIRP,12501,Ponte sobre o Córrego Jataí,Characidium cf. xanthopterum,-14.5855555556,-46.1251944444,13,12,2014
Brasil,Estado de Sao Paulo,Marapoama,LIRP,5742,"Rio Cubatão, ponte entre Elisiário e Marapoama",Characidium zebra,-21.1930556,-49.1227778,14,07,2004
Brasil,Estado de Mato Grosso,Sapezal,LIRP,15068,"PCH Parecis, Rio Juruena",Characidium sp.,-13.0786111,-58.9683333,01,08,2008
Brasil,Estado de Sao Paulo,Orindiúva/Palestina,LIRP,2522,"Córrego dos Bois, sub-bacia do Turvo-Grande - TUG052",Characidium zebra,-20.2466667,-49.4122222,13,07,2001
Brasil,Estado de Mato Grosso,Campos De Julio,LIRP,15066,"Rio Formiga, PCH Divisa - a jusante do reservatório",Characidium sp.,-13.3497222222,-55.1533333333,01,04,2013
Brasil,Estado de Mato Grosso,Pocone,LIRP,9482,"Baía do Burro, Parque Nacional do Pantanal",Characidium laterale,-17.831025,-57.395228,29,10,2011
Brasil,Estado de Sao Paulo,Iporanga,LIRP,3454,"Rio das Mortes, parque estadual de Intervales",Characidium sp.,-24.5799999237061,-48.5900001525879,20,08,2001
Brasil,Estado de Mato Grosso do Sul,Bodoquena,LIRP,5543,"Rio Salobra, Faz. Rancho Branco, sob ponte de madeira.",Characidium cf. zebra,-20.5386009216309,-56.7150001525879,22,08,2004
Brasil,Estado de Sao Paulo,Franca,LIRP,6239,"Rio Canoas, Estrada do Paiolzinho",Characidium sp.,-20.5300006866455,-47.4000015258789,23,08,2003
Brasil,Estado de Goias,Catalao,LIRP,3626,"Córrego da Prata, afluente do Rio São Marcos",Characidium sp.,-17.7905556,-47.5966667,26,07,2002
Brasil,Estado de Mato Grosso do Sul,Bela Vista,LIRP,5636,"Córrego timbó, Fazenda Margarida",Characidium borellii,-21.6069444,-56.7911111,31,08,2004
Brasil,Estado do Espirito Santo,Ibitirama,LIRP,17775,"Rio Sta. Clara, Córrego Caldeirão; Distrito Santa Marta, ponto Preservado 02",Characidium sp.,-20.48525,-41.717056,16,03,2020
Brasil,Estado de Minas Gerais,Presidente Olegario,LIRP,3221,"Fazenda Devaneio, Córrego São João, afluente do Rio da Prata",Characidium sp.,-18.3666667,-46.0833333,24,12,2001
Brasil,Estado de Sao Paulo,Piquerobi,LIRP,2521,"Córrego do Arco, Faz. Boa Vista, sub-bacia do Rio do Peixe - PEX024",Characidium zebra,-21.7630556,-51.5905556,30,05,2000
Brasil,Estado de Sao Paulo,Sao Simao,LIRP,1997,"Cabeceira do Ribeirão Tamanduá (Assombração), afluente direto do Rio Pardo",Characidium sp.,-21.5,-47.5666667,01,03,1989
